2026-02-10 16:33:56.546 | INFO     | negociador:__init__:228 - Logs guardados en /home/hlocal/Documents/pln/pln/app/logs/AmarNoEsDelito.log
2026-02-10 16:33:56.550 | ERROR    | api_client:crear_alias:83 - Error de conexión (crear alias): HTTPConnectionPool(host='127.0.0.1', port=7719): Max retries exceeded with url: /alias/AmarNoEsDelito (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=7719): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-02-10 16:33:56.553 | ERROR    | api_client:get_info:54 - Error de conexión (info): HTTPConnectionPool(host='127.0.0.1', port=7719): Max retries exceeded with url: /info (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=7719): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-02-10 16:33:56.554 | ERROR    | api_client:get_gente:66 - Error de conexión (gente): HTTPConnectionPool(host='127.0.0.1', port=7719): Max retries exceeded with url: /gente (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=7719): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-02-10 16:33:56.554 | ERROR    | negociador:_ejecutar_ronda:1081 - ❌ [ERROR] No se pudo conectar a la API
2026-02-10 16:34:26.558 | ERROR    | api_client:get_info:54 - Error de conexión (info): HTTPConnectionPool(host='127.0.0.1', port=7719): Max retries exceeded with url: /info (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=7719): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-02-10 16:34:26.559 | ERROR    | api_client:get_gente:66 - Error de conexión (gente): HTTPConnectionPool(host='127.0.0.1', port=7719): Max retries exceeded with url: /gente (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=7719): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-02-10 16:34:26.560 | ERROR    | negociador:_ejecutar_ronda:1081 - ❌ [ERROR] No se pudo conectar a la API
2026-02-10 16:34:41.072 | ERROR    | api_client:get_info:54 - Error de conexión (info): HTTPConnectionPool(host='127.0.0.1', port=7719): Max retries exceeded with url: /info (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=7719): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-02-10 16:34:41.074 | ERROR    | api_client:get_gente:66 - Error de conexión (gente): HTTPConnectionPool(host='127.0.0.1', port=7719): Max retries exceeded with url: /gente (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=7719): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-02-10 16:34:54.175 | ERROR    | api_client:get_info:54 - Error de conexión (info): HTTPConnectionPool(host='127.0.0.1', port=7719): Max retries exceeded with url: /info (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=7719): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-02-10 16:34:59.471 | ERROR    | api_client:get_info:54 - Error de conexión (info): HTTPConnectionPool(host='127.0.0.1', port=7719): Max retries exceeded with url: /info (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=7719): Failed to establish a new connection: [Errno 111] Connection refused"))
